name,x coordinate,y coordinate,description
Agua Dulce CC .191,-97.90029014813797,27.78904295284456,9
Agua Dulce GE .180,-97.91529759082242,27.78006011014668,10
Agua Dulce Tower .204,-97.92152400000001,27.777244,10
Alfred Tower .30,-98.00774085600855,27.86181575106974,10
Alice Fire Department Tower .176,-98.0707372186834,27.75337764279547,10
Alice GE .172,-98.07641286029676,27.7158582147608,10
Alice Water Tower - North .32,-98.07203531420988,27.76326408760814,10
Aransas Pass AT .102,-97.16301154052513,27.92496593428627,6
Aransas Pass Water Tower .86,-97.14383417281059,27.90211141917406,9
Aransas Ranch Micropop .99,-97.08704780426825,28.00251099321184,4
Banquete GE .184,-97.78737864529194,27.80264862945554,4
Bartosch Tower .6,-97.88703283744911,27.93612247105491,5
Bayside Richardson Gin .42,-97.23955197062104,28.14345631157628,10
Beach Place Rooftop .148,-97.38087604873418,27.83082788817205,10
Bee Dev Auth Tower .78,-97.66182273351458,28.36958172920707,3
BeeGEO ATC .158,-97.85923052074146,28.3428801655588,10
Beeville GE .72,-97.74229518562287,28.38582071252786,9
Ben Bolt Tower .168,-98.08810823224219,27.64351063405015,9
Benavides Tower .88,-98.43190833333335,27.59101944444445,10
Berclair ATC .170,-97.58504823052121,28.53241567063856,10
Bishop GE .200,-97.7992784692821,27.58739451896116,9
Blanconia Tower .182,-97.42677747738865,28.38304171438015,10
Bluntzer Tower .188,-97.78349804589305,27.89824278565233,9
Bonnie View Tower .123,-97.30984891002038,28.16967662834275,5
Broken Arrow Pole .28,-97.797954,27.853869,3
Calallen AT .130,-97.67649430137344,27.8569004361646,6
Camp Karankawa Tower .37,-97.88315333648927,28.07027465582976,4
Causeway Pole .136,-97.35650893019506,27.85500110515975,10
Chapman Ranch GE .56,-97.54929668511231,27.64960189159899,9
Clear Channel Tower .24,-97.47159854913997,27.74931106817449,10
Coastal Palms RV Pole .101,-97.08385123866906,27.99644933113064,4
Concordia GE .192,-97.70564623271454,27.60526554579926,7
Coronado Tower .50,-97.89589518545274,27.91414779835885,3
Driscoll GE .40,-97.7497563168378,27.67380222258713,10
East Orange Grove 5G Tower .8,-97.90019111733471,27.9791483012035,6
East San Diego Tower .154,-98.18943686511052,27.73106935892728,6
Edroy GE .108,-97.67489692070089,27.97229124919244,7
Emerald Hill Pole .150,-97.85720211700581,28.10963555337529,5
Enchanted Oaks RV Micro Pop .96,-97.10470159403128,27.99209355029018,1
Evelyn's RV Pole .122,-97.63189204361966,27.83424852960572,4
Falfurrias Tower .224,-98.12326185637596,27.28922661522613,9
Fannin AT .163,-97.22606999896487,28.70026999974317,10
Fin and Feather RV Pole .138,-97.11260604647721,27.88849525573325,2
Fishers of Men .100,-97.09534378514721,27.97987509005262,2
Flour Bluff CC .22,-97.28642418794037,27.6580682348984,9
Garcia Pole .79,-97.545703,28.01741,5
George West Water Tower .132,-98.12244929318598,28.3252704237209,9
Goliad Tower .162,-97.38438452833974,28.68299361758269,10
Grande Pole .142,-97.06909651879778,28.02455923671122,4
Gregory Water Tower .60,-97.29182710327979,27.918577265798,10
Halletsville Tower .160.0,-96.95220899999998,29.464844,10
Holiday Beach Tower .146,-96.99850439451332,28.16863121419325,6
Ingleside Tower .140,-97.21879784500517,27.86752380845552,6
Jonas Tower .46,-97.8385621832733,27.92109277685696,10
Karnes City AT .239,-97.91381446695303,28.88504273969066,9
KBNJ Tower .58,-97.41863710835337,27.69668850371556,7
Kenedy South AT .238,-97.81551999999999,28.80773888888889,10
Kingsville Tower .152,-97.86943763384382,27.5138065197665,10
Marble Slab Micro Pop .16,-97.30706812327823,27.89600545686703,2
Mathis Tower .212,-97.81058677701104,28.08313431204618,9
Matt Huie Tower .114,-97.80489633948341,28.34047600048532,4
McWhorter Pole .51,-97.41698759121881,27.88227401004912,5
Mission Valley AT .178,-97.14418541692517,28.85105742118034,5
Mustang Lane .10,-97.85148599999999,27.95609500000001,3
Normana West Tower,-97.83045683505108,28.54390261323802,10
North Aransas Pass Tower .104,-97.13955959508058,27.96176032445334,5
North Beeville Tower .236,-97.78076331376842,28.462951259394,9
North Bluntzer Tower .54,-97.77873099999999,27.987104,3
North Gregory Tower .220,-97.24629240459842,27.99720632247403,10
North Orange Grove Deluane Tower .234,-97.93592071135632,28.007529380362,5
North Taft Tower .69,-97.36805770503958,28.01872249586414,10
Odem AT .186,-97.58400027152759,27.94732785971371,10
Odem GE .228,-97.57919900000002,27.952883,1
Odem Smith Gin Rooftop .80,-97.60950171053369,27.96923160586816,10
Orange Grove GE .112,-97.93366398212453,27.96083346055536,10
Orange Grove Water Tower .110,-97.94070223352706,27.95681249894366,10
Oscar Rivera Tower .36,-97.56330719125403,27.98368513654472,3
Owl Ranch Tower .175,-98.10560378208253,27.88635079836394,4
Palm Harbor RV Pole .143,-97.09016972584539,27.96879393770217,4
Patrick Farms GE .44,-97.91403686968077,27.67015835308383,4
Pettus AT .159,-97.79206925860223,28.62206543823287,10
Placedo AT .190,-96.86551086114294,28.69852367048985,7
Port Aransas Dunes Rooftop .76,-97.05490637709916,27.82787903622371,9
Portland American Tower .84,-97.32109631335005,27.8749533143814,10
Portland Old Office Pole .12,-97.3169538497949,27.88858586722211,3
Portland Tower .156,-97.32033900468016,27.90868203302743,7
Power Tower .90,-97.66419252281445,27.94339995702489,3
Premont Tower .226,-98.18556993434208,27.37985873189702,10
Proco Tower .116,-98.23298933878883,27.56043975855189,10
Ramirez Pole .91,-97.8504187772251,27.88108599797593,3
Rancho Banquete Micro Pop .34,-97.83308196079867,27.80863375000415,4
Ranger Road Tower .232,-97.91887701687924,28.10475311912833,9
Refugio Tower .160,-97.28438800000001,28.308476,9
Ricardo East Tower .194,-97.8225020087675,27.43758755603055,4
Ricardo GE .196,-97.85478468855726,27.42381706136919,9
Ricardo South Tower .199,-97.80059,27.39893,10
Ricardo West Tower .198,-97.88766905760122,27.42018702057116,4
Riviera AT .202,-97.8171508584997,27.3109797856766,6
Robstown GE .38,-97.6696481214169,27.7756569469476,9
Robstown Tower .124,-97.63757271870429,27.75331695952129,10
Rockport Tower .144,-97.09086499999999,28.033763,10
Rockport TX AT .145,-97.07145418890704,28.06479065268138,10
San Diego Tower .120,-98.24694914006764,27.75606246535338,9
Sandia Fire Department .94,-97.87759296576526,28.02306904261677,4
Sandy Hollow .31,-97.82414966201749,27.9593532727568,4
Shoreline Rooftop .20,-97.39164234061739,27.79900583295709,10
Sinton Tower .208,-97.50107799999999,28.051207,5
Skidmore Tower .240,-97.67671523934015,28.24639694220945,10
Skidmore TX SQA AT .241,-97.70998000007198,28.30569000042713,10
South George West Tower .92,-98.10499375430983,28.21776949862285,10
South Rockport .147,-97.07599883431966,28.00183472114547,9
South St. Paul GE .126,-97.55723508256654,28.08162659537938,5
Southeast Skidmore Tower .242,-97.63241500696498,28.21852086709655,5
St. Paul GE .128,-97.58802514360411,28.11595634387746,7
Swinney Switch Tower .74,-97.91924899999999,28.244284,7
Taft GE .48,-97.40436925267583,27.98024672146087,10
Three Rivers .134,-98.17241494887806,28.40670787892923,7
Tom Brown Tower .135,-97.58699416371688,28.19205913414387,5
Tynan GE .164,-97.75868123981067,28.1661143468401,10
VFW Pole .107,-97.18150741683475,27.87417550424457,3
Victoria Tower .166,-97.03048497744504,28.79291071151806,10
West Orange Grove Hale Tower .139,-97.98513173368588,27.95523102035373,5
West Orange Grove Pole .118,-97.97263586474065,27.98792441183905,4
West Orange Grove Tower .52,-98.07831737774225,28.00990667511996,10
West Sinton GE .248,-97.68847870252131,28.09088195856845,5
Wilderness Tower .214,-97.86348079057643,28.05377200928771,6
Woodsboro GE .70,-97.33428554753404,28.2355845827768,9
